question;golden_path
How can I reset the DNS cache on Windows, macOS, and Linux?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/093_resetting-a-computer-s-dns-cache.pdf""]"
What are the steps to troubleshoot issues with Microsoft SharePoint?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/095_troubleshooting-issues-with-microsoft-sharepoint.pdf""]"
How do I set up a secure connection to a company-issued website?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/092_setting-up-a-secure-connection-to-a-company-issued-website.pdf""]"
How can I configure a secure VPN connection to a company-issued server?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/099_setting-up-a-secure-connection-to-a-company-issued-server.pdf""]"
What are the troubleshooting steps for company-issued hardware problems?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/091_troubleshooting-issues-with-company-issued-hardware.pdf""]"
How can an employee reset a forgotten network username?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/100_resetting-a-forgotten-network-username.pdf""]"
How to create and configure a new user's account in Dropbox?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/096_setting-up-a-new-user-s-account-in-dropbox.pdf""]"
What to do if a computer is running slow?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/098_troubleshooting-issues-with-a-slow-performing-computer.pdf""]"
How to properly create a new IT problem ticket?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/097_creating-a-new-it-problem.pdf""]"
How to configure a company-issued device for international travel?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/094_configuring-a-company-issued-device-for-international-travel.pdf""]"
How to create a new IT incident report in the IT Service Management Portal?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/055_creating-a-new-it-incident-report.md""]"
What are the steps for configuring VPN access for remote workers?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/003_configuring-vpn-access-for-remote-workers.md""]"
How to troubleshoot issues with Adobe Flash in a web browser?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/021_troubleshooting-issues-with-adobe-flash.md""]"
How to set up a secure VPN connection to a company-issued server?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/064_setting-up-a-secure-connection-to-a-company-issued-server.md""]"
What causes a computer to run slowly and how to fix it?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/042_troubleshooting-issues-with-a-slow-performing-computer.md""]"
How to troubleshoot issues with Microsoft Word?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/060_troubleshooting-issues-with-microsoft-word.md""]"
How to configure email on an Android device?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/010_configuring-email-on-an-android-device.md""]"
How to configure a company-issued tablet for accessibility needs?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/066_configuring-a-company-issued-tablet-for-accessibility.md""]"
How to create a new knowledge base article properly?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/027_creating-a-knowledge-base-article.md""]"
What are the steps to reset a jammed printer?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/009_resetting-a-jammed-printer.md""]"
How to troubleshoot issues with company-issued tablets?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/007_troubleshooting-issues-with-company-issued-tablets.md""]"
How to reset a computer’s DNS settings on Windows and macOS?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/065_resetting-a-computer-s-dns-settings.md""]"
What are the steps to set up a new user's computer in the company network?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/019_setting-up-a-new-user-s-computer.md""]"
How to set up a secure connection to a database server using SSL/TLS?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/050_setting-up-a-secure-connection-to-a-database-server.md""]"
How to configure VPN access on a company-issued laptop for secure remote work?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/003_configuring-vpn-access-for-remote-workers.md""]"
How can I fix slow internet performance caused by DNS issues?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/065_resetting-a-computer-s-dns-settings.md""]"
How to enable and use accessibility features on a company-issued tablet?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/066_configuring-a-company-issued-tablet-for-accessibility.md""]"
How to create a detailed IT problem report in the Helpdesk portal?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/097_creating-a-new-it-problem.pdf""]"
How to troubleshoot hardware issues on a company laptop?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/091_troubleshooting-issues-with-company-issued-hardware.pdf""]"
How to properly configure Wi-Fi and VPN before international travel?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/094_configuring-a-company-issued-device-for-international-travel.pdf""]"
What should be included in a knowledge base article for IT support?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/027_creating-a-knowledge-base-article.md""]"
How to connect to a company-issued website securely using HTTPS?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/092_setting-up-a-secure-connection-to-a-company-issued-website.pdf""]"
How to handle missing or corrupted files in SharePoint?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/095_troubleshooting-issues-with-microsoft-sharepoint.pdf""]"
