question;golden_path
How can I troubleshoot and fix DNS-related connectivity issues on both Windows and macOS?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/093_resetting-a-computer-s-dns-cache.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/065_resetting-a-computer-s-dns-settings.md""]"
What steps should be taken to configure and verify a secure VPN connection to company resources?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/099_setting-up-a-secure-connection-to-a-company-issued-server.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/003_configuring-vpn-access-for-remote-workers.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/064_setting-up-a-secure-connection-to-a-company-issued-server.md""]"
How can I prepare a company-issued laptop for secure use during international travel?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/094_configuring-a-company-issued-device-for-international-travel.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/099_setting-up-a-secure-connection-to-a-company-issued-server.pdf""]"
What should I do if my computer runs slow or freezes frequently?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/098_troubleshooting-issues-with-a-slow-performing-computer.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/042_troubleshooting-issues-with-a-slow-performing-computer.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/091_troubleshooting-issues-with-company-issued-hardware.pdf""]"
How do I troubleshoot problems with Microsoft applications like Word or SharePoint?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/060_troubleshooting-issues-with-microsoft-word.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/095_troubleshooting-issues-with-microsoft-sharepoint.pdf""]"
What are the procedures for creating and tracking IT tickets and incidents?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/097_creating-a-new-it-problem.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/055_creating-a-new-it-incident-report.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/027_creating-a-knowledge-base-article.md""]"
How can I connect securely to company-issued servers or websites using HTTPS or VPN?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/092_setting-up-a-secure-connection-to-a-company-issued-website.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/099_setting-up-a-secure-connection-to-a-company-issued-server.pdf"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/050_setting-up-a-secure-connection-to-a-database-server.md""]"
How to assist new employees in setting up their computers and accounts?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/019_setting-up-a-new-user-s-computer.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/096_setting-up-a-new-user-s-account-in-dropbox.pdf""]"
What steps ensure accessibility and usability for company-issued mobile devices?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/066_configuring-a-company-issued-tablet-for-accessibility.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/007_troubleshooting-issues-with-company-issued-tablets.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/091_troubleshooting-issues-with-company-issued-hardware.pdf""]"
How can I configure and troubleshoot email on different devices (Android, desktop, etc.)?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/010_configuring-email-on-an-android-device.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/097_creating-a-new-it-problem.pdf""]"
How can I troubleshoot printing and hardware issues across office devices?;"[""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/md/009_resetting-a-jammed-printer.md"", ""/Users/marianslassi/Documents/Entry/Code/Git_default/RAG_application/data/01_raw/it-knowledge/canonical/pdf/091_troubleshooting-issues-with-company-issued-hardware.pdf""]"
